2
50 1170
16 39 962
16 41 696
16 44 745
16 47 57
17 1 151
17 2 617
17 5 686
17 6 209
17 7 909
17 8 996
17 10 828
17 11 821
17 13 128
17 16 209
17 18 996
17 20 452
17 23 213
17 25 804
17 27 252
17 28 137
17 29 894
17 30 970
17 34 858
17 36 595
17 39 855
17 41 762
17 46 426
17 47 991
17 48 872
17 49 236
18 1 699
18 2 494
18 5 682
18 8 902
18 9 655
18 12 445
18 15 584
18 21 660
18 23 71
18 26 712
18 27 250
18 31 166
18 32 77
18 35 912
18 36 552
18 38 339
18 39 113
18 43 13
18 47 643
18 49 325
18 50 347
19 1 780
19 3 551
19 4 772
19 9 192
19 11 651
19 14 794
19 16 520
19 18 707
19 21 794
19 25 512
19 26 198
19 29 471
19 31 153
19 33 305
19 37 733
19 41 716
19 44 123
20 3 934
20 4 635
20 6 673
20 7 929
20 10 603
20 16 128
20 21 19
20 23 623
20 24 720
20 25 941
20 28 889
20 30 356
20 31 491
20 32 481
20 33 985
20 35 738
20 37 560
20 38 394
20 42 106
20 44 325
20 48 925
20 50 725
21 4 111
21 5 213
21 8 557
21 12 186
21 13 250
21 14 299
21 15 815
21 17 526
21 20 7
21 25 21
21 26 711
21 28 463
21 31 216
21 34 323
21 37 75
21 38 888
21 40 110
21 41 303
21 46 977
21 48 733
22 1 317
22 2 280
22 5 183
22 6 75
22 7 17
22 8 467
22 9 523
22 11 3
22 12 167
22 15 660
22 16 165
22 18 841
22 19 641
22 25 62
22 27 313
22 29 531
22 31 561
22 32 986
22 35 922
22 38 642
22 41 254
22 42 592
22 43 995
22 47 561
22 48 570
23 2 375
23 5 977
23 10 985
23 12 865
23 13 189
23 16 682
23 19 425
23 24 828
23 31 528
23 32 178
23 34 212
23 38 769
23 39 863
23 41 669
23 44 592
23 46 302
23 47 814
23 49 218
23 50 708
24 4 394
24 5 72
24 6 300
24 7 33
24 8 857
24 9 285
24 10 574
24 11 357
24 13 203
24 16 670
24 20 228
24 21 92
24 29 900
24 33 966
24 34 804
24 36 204
24 40 39
24 41 453
24 42 528
24 45 850
24 46 617
24 48 107
24 50 255
25 2 202
25 3 7
25 4 914
25 5 831
25 7 280
25 8 924
25 9 618
25 10 414
25 11 676
25 17 655
25 19 259
25 20 509
25 21 732
25 22 549
25 23 143
25 24 154
25 26 746
25 28 388
25 30 774
25 31 535
25 32 949
25 33 147
25 36 453
25 37 297
25 39 885
25 40 33
25 41 708
25 45 341
25 50 162
26 3 136
26 4 130
26 6 311
26 13 762
26 16 836
26 22 623
26 31 715
26 34 897
26 36 755
26 37 171
26 38 189
26 39 769
26 40 762
26 43 615
26 44 63
26 45 32
26 46 730
26 47 415
27 3 913
27 5 139
27 6 82
27 7 483
27 8 618
27 10 56
27 11 116
27 13 834
27 19 876
27 21 141
27 22 200
27 25 478
27 30 646
27 34 443
27 35 746
27 37 415
27 43 401
27 46 728
27 49 685
27 50 75
28 1 365
28 3 920
28 5 691
28 7 256
28 11 173
28 13 129
28 18 433
28 19 994
28 20 116
28 21 333
28 23 153
28 25 363
28 26 470
28 32 857
28 33 986
28 36 451
28 37 869
28 38 410
28 39 604
28 40 400
28 41 308
28 42 611
28 43 533
28 44 936
28 45 742
28 46 253
28 47 953
28 48 887
29 1 823
29 4 994
29 5 391
29 8 564
29 9 894
29 10 682
29 11 377
29 12 76
29 13 874
29 21 345
29 25 235
29 26 432
29 27 253
29 28 432
29 30 106
29 31 525
29 32 287
29 33 592
29 34 682
29 35 461
29 36 29
29 37 148
29 38 726
29 39 141
29 40 146
29 42 662
29 46 200
30 3 482
30 4 416
30 6 279
30 9 613
30 11 590
30 13 272
30 15 187
30 19 298
30 21 169
30 22 277
30 24 53
30 26 513
30 28 645
30 29 582
30 31 302
30 32 843
30 33 912
30 37 67
30 38 527
30 39 627
30 41 611
30 43 898
30 45 461
30 47 283
30 48 536
30 49 474
30 50 729
31 3 987
31 4 763
31 8 710
31 10 224
31 11 42
31 12 405
31 13 853
31 15 189
31 17 397
31 20 613
31 22 803
31 25 747
31 26 157
31 29 976
31 34 310
31 37 573
31 38 881
31 39 749
31 40 729
31 41 654
31 43 152
31 45 213
31 49 165
32 1 881
32 4 667
32 5 526
32 7 137
32 8 626
32 9 151
32 10 929
32 12 656
32 13 528
32 14 40
32 15 123
32 17 942
32 18 210
32 19 667
32 25 307
32 26 610
32 27 981
32 34 412
32 37 686
32 38 648
32 42 700
32 45 277
32 46 61
32 49 275
32 50 735
33 1 709
33 5 874
33 8 400
33 9 609
33 10 586
33 12 142
33 15 204
33 17 19
33 18 742
33 25 776
33 26 606
33 28 606
33 29 594
33 32 930
33 34 853
33 35 409
33 39 312
33 40 422
33 43 959
33 44 547
33 49 946
34 5 171
34 6 857
34 7 637
34 8 205
34 10 538
34 11 231
34 13 193
34 14 980
34 16 126
34 17 550
34 19 372
34 20 99
34 26 712
34 27 372
34 29 379
34 33 334
34 35 552
34 36 59
34 38 42
34 39 838
34 40 954
34 42 515
34 43 608
34 44 104
34 46 187
34 47 831
35 1 760
35 2 973
35 7 159
35 8 284
35 9 309
35 11 892
35 13 520
35 14 392
35 15 83
35 16 45
35 17 885
35 19 201
35 20 498
35 21 410
35 23 953
35 24 968
35 25 240
35 31 460
35 32 216
35 33 31
35 34 219
35 36 647
35 37 499
35 42 316
35 43 205
35 46 998
35 50 594
36 1 545
36 7 699
36 8 582
36 9 922
36 11 180
36 14 480
36 15 793
36 17 82
36 18 285
36 21 166
36 23 787
36 26 123
36 27 107
36 28 527
36 29 622
36 32 107
36 34 165
36 35 106
36 39 570
36 41 925
36 43 198
36 48 380
36 49 593
37 1 260
37 4 822
37 5 397
37 6 494
37 7 903
37 8 565
37 11 459
37 13 802
37 19 27
37 22 635
37 26 977
37 27 504
37 28 961
37 38 118
37 39 798
37 42 977
37 47 607
37 50 340
38 2 503
38 3 953
38 10 780
38 11 10
38 12 815
38 13 446
38 14 225
38 15 827
38 16 18
38 18 353
38 20 520
38 25 458
38 27 584
38 29 698
38 30 137
38 36 866
38 42 256
38 45 676
38 46 644
38 48 289
39 3 766
39 5 241
39 6 20
39 9 863
39 10 39
39 12 706
39 14 290
39 15 413
39 18 565
39 19 137
39 20 179
39 23 634
39 27 800
39 28 9
39 33 666
39 34 906
39 35 630
39 36 664
39 38 697
39 44 376
39 46 614
39 47 855
39 48 571
39 50 194
40 4 673
40 6 972
40 8 913
40 10 473
40 17 230
40 18 375
40 19 624
40 22 287
40 23 876
40 24 627
40 25 510
40 27 532
40 28 291
40 30 801
40 32 675
40 33 782
40 36 828
40 39 124
40 45 708
40 48 965
40 49 127
41 1 572
41 2 946
41 3 761
41 5 600
41 7 425
41 8 486
41 9 746
41 10 750
41 11 737
41 12 356
41 14 180
41 15 537
41 17 672
41 20 71
41 21 40
41 22 725
41 26 719
41 30 86
41 32 958
41 35 806
41 36 384
41 39 977
41 40 53
41 44 415
41 47 621
41 48 394
42 2 636
42 3 444
42 5 806
42 8 39
42 9 825
42 13 496
42 16 138
42 19 759
42 26 254
42 27 612
42 28 323
42 33 563
42 34 27
42 35 718
42 36 273
42 37 387
42 40 20
42 43 169
42 49 920
43 1 615
43 4 782
43 5 493
43 13 189
43 14 325
43 18 95
43 22 947
43 29 32
43 31 146
43 32 495
43 34 984
43 35 348
43 36 380
43 37 70
43 38 813
43 40 245
43 41 503
43 42 495
43 45 929
43 49 812
44 5 450
44 6 345
44 10 753
44 14 410
44 16 687
44 18 367
44 19 672
44 20 646
44 21 600
44 23 579
44 26 474
44 29 43
44 33 652
44 34 154
44 39 826
44 42 103
44 43 223
44 45 318
44 47 519
44 49 455
44 50 323
45 4 986
45 5 406
45 10 831
45 12 108
45 13 981
45 17 238
45 19 380
45 20 442
45 26 752
45 28 613
45 29 290
45 30 827
45 33 839
45 34 516
45 36 435
45 37 605
45 39 907
45 40 934
45 43 112
45 48 677
46 3 993
46 7 574
46 9 229
46 12 540
46 15 689
46 16 895
46 17 398
46 18 599
46 20 700
46 22 368
46 24 603
46 26 876
46 27 75
46 29 847
46 30 821
46 32 109
46 35 127
46 36 801
46 39 37
46 40 574
46 41 355
46 43 852
46 44 153
46 45 630
46 47 791
46 49 158
46 50 39
47 1 965
47 2 736
47 5 197
47 6 186
47 7 229
47 8 521
47 10 332
47 12 215
47 13 221
47 14 20
47 16 921
47 17 42
47 18 907
47 19 452
47 20 776
47 21 195
47 22 378
47 29 620
47 30 995
47 31 700
47 32 381
47 33 771
47 36 536
47 37 217
47 39 590
47 40 381
47 41 635
47 44 93
47 46 12
47 48 161
47 50 626
48 2 132
48 5 23
48 13 177
48 14 698
48 16 264
48 20 612
48 21 702
48 22 429
48 23 490
48 24 131
48 25 32
48 26 544
48 27 386
48 28 682
48 29 740
48 32 193
48 33 508
48 34 575
48 35 474
48 38 892
48 39 900
48 42 868
48 43 850
48 46 137
48 49 860
49 1 755
49 3 487
49 12 842
49 15 556
49 19 52
49 20 740
49 22 899
49 26 74
49 31 624
49 33 690
49 35 569
49 37 885
49 38 68
49 40 18
49 44 352
49 45 464
49 48 772
50 4 155
50 10 264
50 11 704
50 12 150
50 14 537
50 18 985
50 19 218
50 25 396
50 27 813
50 28 235
50 30 737
50 31 418
50 32 244
50 33 453
50 34 497
50 35 64
50 37 729
50 39 379
50 41 73
50 42 378
50 43 863
50 45 656
50 46 687
50 48 486
50 49 623
100 4888
1 5 837
1 8 454
1 9 186
1 10 29
1 15 426
1 16 682
1 17 443
1 22 121
1 27 420
1 28 11
1 29 373
1 30 596
1 33 235
1 35 354
1 38 135
1 39 754
1 40 3
1 41 900
1 51 370
1 53 280
1 54 818
1 57 345
1 58 471
1 60 323
1 63 974
1 65 634
1 67 407
1 69 375
1 70 319
1 71 559
1 75 667
1 78 627
1 79 411
1 81 208
1 84 58
1 87 385
1 89 726
1 90 160
1 91 597
1 92 849
1 94 15
1 95 602
1 97 72
2 1 160
2 3 219
2 4 467
2 5 361
2 6 406
2 7 287
2 10 554
2 11 689
2 13 600
2 14 634
2 19 779
2 20 217
2 23 352
2 24 222
2 26 816
2 28 494
2 29 513
2 30 322
2 33 439
2 34 719
2 35 160
2 36 274
2 38 560
2 40 226
2 41 513
2 42 21
2 43 617
2 44 712
2 49 783
2 52 83
2 56 700
2 60 193
2 62 815
2 63 489
2 64 579
2 65 933
2 67 331
2 69 562
2 73 60
2 74 455
2 75 499
2 76 762
2 78 538
2 80 21
2 82 588
2 87 122
2 89 604
2 95 30
2 96 848
2 98 836
3 5 383
3 6 649
3 7 697
3 9 904
3 10 750
3 13 738
3 15 309
3 16 957
3 17 229
3 18 635
3 20 10
3 22 10
3 24 179
3 25 329
3 26 896
3 27 151
3 28 5
3 29 213
3 31 160
3 32 638
3 33 765
3 35 553
3 39 645
3 40 965
3 42 868
3 43 327
3 44 32
3 45 581
3 46 9
3 47 507
3 54 261
3 55 83
3 59 644
3 60 778
3 64 940
3 66 888
3 68 926
3 72 299
3 75 379
3 76 938
3 78 56
3 79 812
3 80 349
3 82 500
3 83 459
3 86 975
3 87 252
3 89 402
3 94 661
3 95 469
3 99 354
4 2 133
4 6 394
4 7 386
4 11 309
4 12 967
4 13 544
4 15 63
4 16 272
4 17 949
4 22 161
4 23 691
4 25 105
4 26 381
4 30 12
4 31 545
4 36 859
4 37 796
4 38 435
4 39 126
4 42 955
4 45 293
4 46 945
4 47 791
4 49 124
4 51 520
4 52 800
4 59 886
4 63 599
4 64 826
4 65 351
4 66 27
4 69 723
4 71 977
4 73 385
4 77 406
4 78 12
4 80 826
4 81 747
4 85 452
4 86 688
4 89 970
4 93 374
4 94 236
4 95 646
4 96 783
4 97 976
4 100 682
5 6 409
5 7 698
5 12 128
5 20 783
5 22 761
5 23 684
5 25 716
5 26 956
5 27 429
5 28 250
5 30 375
5 31 747
5 32 339
5 35 825
5 36 563
5 38 667
5 39 203
5 40 631
5 42 246
5 43 204
5 47 253
5 48 995
5 53 526
5 56 164
5 58 386
5 59 132
5 62 761
5 64 273
5 65 605
5 67 477
5 68 244
5 69 450
5 70 423
5 71 976
5 72 911
5 73 285
5 76 915
5 82 356
5 83 659
5 86 845
5 89 407
5 91 448
5 93 984
5 94 962
5 95 485
5 97 913
5 98 587
5 99 927
6 1 703
6 4 729
6 7 256
6 9 784
6 10 170
6 11 244
6 13 650
6 17 31
6 19 690
6 21 948
6 23 479
6 25 189
6 33 531
6 36 171
6 37 313
6 39 568
6 41 711
6 44 912
6 46 194
6 47 114
6 48 501
6 49 746
6 53 188
6 54 228
6 61 583
6 65 117
6 68 609
6 70 925
6 73 463
6 74 460
6 77 30
6 78 815
6 81 232
6 84 72
6 85 31
6 87 626
6 90 600
6 93 941
6 94 637
6 96 162
6 98 133
7 1 918
7 2 983
7 3 999
7 8 850
7 9 957
7 11 646
7 13 663
7 14 283
7 16 412
7 17 996
7 20 680
7 21 178
7 23 769
7 25 343
7 26 445
7 27 703
7 28 991
7 30 979
7 33 355
7 36 288
7 38 158
7 39 935
7 42 831
7 43 833
7 45 434
7 46 348
7 47 223
7 48 79
7 50 173
7 55 87
7 56 977
7 61 667
7 63 968
7 66 225
7 69 174
7 70 708
7 72 962
7 73 490
7 74 82
7 83 177
7 86 60
7 89 614
7 90 159
7 95 116
7 99 59
8 1 716
8 7 667
8 9 915
8 10 190
8 12 721
8 13 872
8 15 630
8 16 988
8 18 938
8 21 65
8 23 900
8 26 90
8 29 343
8 35 472
8 37 760
8 39 715
8 40 460
8 41 545
8 43 62
8 46 266
8 47 678
8 48 752
8 53 220
8 55 733
8 57 545
8 58 964
8 61 116
8 65 281
8 68 48
8 69 147
8 71 570
8 73 319
8 76 852
8 79 234
8 80 676
8 81 52
8 83 521
8 86 549
8 87 826
8 88 545
8 89 610
8 91 856
8 93 935
8 94 411
8 96 285
8 97 378
8 100 936
9 3 207
9 6 75
9 7 660
9 10 811
9 12 534
9 13 919
9 17 107
9 19 56
9 21 974
9 25 747
9 30 109
9 31 468
9 32 253
9 33 130
9 34 195
9 36 911
9 37 661
9 41 648
9 42 415
9 46 793
9 47 686
9 49 465
9 50 904
9 52 403
9 53 615
9 56 359
9 62 221
9 63 626
9 65 622
9 67 518
9 71 939
9 72 210
9 73 408
9 79 575
9 83 493
9 84 75
9 86 328
9 87 931
9 88 998
9 89 846
9 90 816
9 91 814
9 95 643
9 97 844
10 2 21
10 4 464
10 6 937
10 9 42
10 11 991
10 12 180
10 14 427
10 17 829
10 18 539
10 25 730
10 26 799
10 27 128
10 29 121
10 33 603
10 35 394
10 36 108
10 37 265
10 38 370
10 40 169
10 41 340
10 45 569
10 47 289
10 49 229
10 54 16
10 56 22
10 57 178
10 58 961
10 59 110
10 60 173
10 62 777
10 63 107
10 65 316
10 66 92
10 69 413
10 73 240
10 74 584
10 76 176
10 78 413
10 79 914
10 80 628
10 84 13
10 91 401
10 92 690
10 94 609
10 95 502
10 97 308
10 99 242
11 4 835
11 5 244
11 6 247
11 9 973
11 14 112
11 15 276
11 16 952
11 19 841
11 20 33
11 22 123
11 23 467
11 27 735
11 29 465
11 32 841
11 33 140
11 36 355
11 40 327
11 43 517
11 44 986
11 45 983
11 46 702
11 47 209
11 49 903
11 50 275
11 51 502
11 52 741
11 54 236
11 55 832
11 56 334
11 58 387
11 59 149
11 60 563
11 64 405
11 65 406
11 66 637
11 68 50
11 70 800
11 74 843
11 76 227
11 79 757
11 80 727
11 82 840
11 83 267
11 86 832
11 88 970
11 91 94
11 92 108
11 93 870
11 94 48
11 95 665
11 97 436
11 99 459
12 1 864
12 2 523
12 3 163
12 4 737
12 5 79
12 8 835
12 11 132
12 13 643
12 14 827
12 15 428
12 17 940
12 19 159
12 22 250
12 23 212
12 24 951
12 25 660
12 26 123
12 29 423
12 30 761
12 31 987
12 32 22
12 33 144
12 34 89
12 36 403
12 41 779
12 43 859
12 50 562
12 51 418
12 52 719
12 55 291
12 57 190
12 59 149
12 60 871
12 62 101
12 63 243
12 64 480
12 66 276
12 70 20
12 75 656
12 76 160
12 79 144
12 80 558
12 81 100
12 83 546
12 84 307
12 86 936
12 88 477
12 89 116
12 90 456
12 91 712
12 95 745
12 97 145
12 99 418
13 2 7
13 7 950
13 8 902
13 10 667
13 11 554
13 14 732
13 17 686
13 21 891
13 26 335
13 27 69
13 28 119
13 29 606
13 30 542
13 31 695
13 33 557
13 36 684
13 37 36
13 38 742
13 42 543
13 43 799
13 45 78
13 48 174
13 50 455
13 57 18
13 58 708
13 59 160
13 60 319
13 61 427
13 62 13
13 64 348
13 66 290
13 69 27
13 71 549
13 73 886
13 75 49
13 80 636
13 81 792
13 82 814
13 83 915
13 86 631
13 87 239
13 90 700
13 92 509
13 94 319
13 97 107
13 98 494
13 99 771
14 1 660
14 2 551
14 3 346
14 9 148
14 10 697
14 15 46
14 16 447
14 19 65
14 20 967
14 22 995
14 24 246
14 26 642
14 30 768
14 32 785
14 35 598
14 36 548
14 38 579
14 40 826
14 41 980
14 42 824
14 43 8
14 44 877
14 45 449
14 46 532
14 50 253
14 53 766
14 54 893
14 60 922
14 63 394
14 66 240
14 72 539
14 73 881
14 78 290
14 79 246
14 85 705
14 87 395
14 90 646
14 94 26
14 95 302
14 97 911
14 98 572
14 100 167
15 1 909
15 3 827
15 5 660
15 8 470
15 11 190
15 13 598
15 14 467
15 17 127
15 19 173
15 20 654
15 21 634
15 23 33
15 24 924
15 27 163
15 28 587
15 29 489
15 32 689
15 36 308
15 40 438
15 41 65
15 42 15
15 43 447
15 44 732
15 48 685
15 49 529
15 51 938
15 56 531
15 61 640
15 63 87
15 64 800
15 66 981
15 67 359
15 68 583
15 70 71
15 72 476
15 76 868
15 77 676
15 79 872
15 81 586
15 82 920
15 83 291
15 85 271
15 86 467
15 91 136
15 92 676
15 93 378
15 94 334
15 96 810
15 97 82
15 98 321
15 99 62
15 100 570
16 4 644
16 9 531
16 10 266
16 13 511
16 17 353
16 18 510
16 25 786
16 26 535
16 29 985
16 32 971
16 33 669
16 35 492
16 38 330
16 39 673
16 40 724
16 42 645
16 45 306
16 46 283
16 47 806
16 48 814
16 49 896
16 50 650
16 52 790
16 53 944
16 54 187
16 59 813
16 62 812
16 63 814
16 65 507
16 67 119
16 68 722
16 69 59
16 72 276
16 74 663
16 75 846
16 76 351
16 77 861
16 78 661
16 80 379
16 81 515
16 82 120
16 84 580
16 86 328
16 87 785
16 88 716
16 90 316
16 91 560
16 92 23
16 93 626
16 94 148
16 96 534
16 98 266
16 99 601
16 100 278
17 1 874
17 4 856
17 6 16
17 7 851
17 8 572
17 10 416
17 14 567
17 15 121
17 16 969
17 22 637
17 23 248
17 25 814
17 26 619
17 29 804
17 33 441
17 35 839
17 37 109
17 38 477
17 40 949
17 41 986
17 45 14
17 47 287
17 49 857
17 50 577
17 51 345
17 54 934
17 57 690
17 58 383
17 63 653
17 64 889
17 65 657
17 66 746
17 69 105
17 76 663
17 79 184
17 80 5
17 82 862
17 84 302
17 86 307
17 88 213
17 89 526
17 90 51
17 91 904
17 93 86
17 94 893
17 95 956
17 97 880
17 98 974
18 2 482
18 3 286
18 4 203
18 8 270
18 9 401
18 13 436
18 15 617
18 17 763
18 19 495
18 20 457
18 22 6
18 30 853
18 31 201
18 33 922
18 35 445
18 37 968
18 39 679
18 42 87
18 43 932
18 45 557
18 46 876
18 47 619
18 50 506
18 51 356
18 52 324
18 54 384
18 55 390
18 57 196
18 58 611
18 59 454
18 62 19
18 65 389
18 66 401
18 72 326
18 79 176
18 82 419
18 87 295
18 92 221
18 93 343
18 96 532
18 98 1000
18 99 819
18 100 999
19 1 843
19 3 911
19 4 583
19 7 607
19 10 549
19 14 743
19 15 287
19 16 11
19 17 501
19 18 123
19 20 986
19 21 956
19 25 335
19 26 128
19 30 922
19 31 976
19 33 830
19 35 743
19 37 149
19 38 482
19 40 467
19 42 221
19 50 383
19 51 99
19 52 272
19 53 551
19 55 977
19 56 839
19 64 338
19 65 315
19 69 78
19 70 624
19 71 897
19 72 481
19 75 262
19 78 52
19 80 755
19 81 296
19 83 454
19 84 900
19 85 970
19 86 472
19 87 667
19 88 688
19 90 742
19 92 300
19 96 32
19 98 654
19 99 93
20 5 39
20 6 456
20 9 530
20 10 807
20 11 840
20 12 966
20 15 192
20 19 20
20 21 408
20 22 222
20 24 993
20 25 297
20 26 844
20 27 216
20 32 984
20 33 821
20 35 881
20 37 789
20 39 404
20 41 211
20 43 835
20 44 386
20 45 529
20 46 703
20 47 614
20 51 582
20 52 94
20 53 329
20 55 944
20 58 511
20 59 102
20 60 527
20 62 344
20 63 322
20 65 954
20 66 336
20 71 771
20 72 204
20 73 720
20 75 91
20 77 302
20 78 120
20 80 756
20 82 731
20 86 365
20 87 641
20 89 873
20 90 336
20 91 638
20 95 169
20 97 694
20 98 764
20 100 168
21 2 950
21 5 826
21 6 808
21 7 759
21 8 223
21 9 184
21 15 265
21 18 203
21 22 116
21 24 178
21 25 732
21 27 11
21 29 864
21 30 491
21 34 398
21 36 916
21 37 396
21 38 575
21 40 745
21 41 799
21 42 662
21 44 142
21 45 265
21 46 913
21 47 433
21 52 316
21 53 999
21 56 103
21 57 518
21 60 876
21 66 597
21 70 784
21 72 183
21 76 373
21 77 591
21 79 420
21 80 270
21 81 155
21 82 743
21 88 785
21 90 960
21 91 749
21 92 386
21 96 358
21 97 63
21 99 288
22 1 800
22 4 830
22 5 682
22 7 827
22 8 512
22 10 458
22 14 415
22 19 362
22 21 379
22 23 229
22 31 934
22 33 919
22 35 954
22 36 783
22 37 231
22 38 990
22 41 156
22 42 544
22 44 422
22 45 96
22 46 973
22 47 362
22 50 810
22 52 410
22 56 529
22 58 632
22 61 519
22 62 807
22 63 435
22 64 587
22 66 993
22 68 267
22 70 678
22 71 131
22 73 86
22 74 427
22 75 523
22 76 536
22 77 660
22 79 478
22 80 434
22 82 139
22 85 595
22 86 110
22 87 244
22 96 104
22 99 636
22 100 835
23 2 164
23 6 496
23 12 479
23 14 647
23 15 159
23 18 722
23 19 661
23 20 140
23 24 877
23 26 389
23 27 81
23 29 849
23 31 278
23 32 11
23 33 419
23 35 514
23 36 889
23 37 879
23 40 737
23 43 830
23 46 657
23 52 700
23 58 470
23 59 834
23 61 741
23 62 683
23 63 883
23 64 536
23 65 459
23 66 776
23 67 369
23 70 305
23 71 118
23 75 204
23 79 198
23 80 420
23 81 969
23 83 641
23 85 805
23 87 898
23 89 51
23 92 120
23 93 15
23 96 563
23 99 162
23 100 847
24 7 846
24 8 885
24 9 606
24 10 869
24 16 39
24 18 213
24 19 415
24 21 174
24 22 269
24 25 122
24 27 736
24 28 549
24 29 481
24 30 354
24 31 247
24 32 535
24 34 403
24 36 709
24 37 490
24 39 840
24 41 596
24 42 61
24 43 666
24 44 568
24 46 799
24 47 399
24 49 546
24 50 477
24 51 425
24 52 421
24 53 753
24 56 552
24 57 75
24 58 106
24 59 397
24 60 796
24 64 990
24 66 35
24 67 625
24 69 622
24 73 922
24 74 384
24 75 256
24 83 166
24 84 703
24 86 121
24 87 485
24 89 510
24 90 911
24 91 51
24 92 131
24 94 200
24 95 100
24 96 332
25 3 854
25 5 978
25 10 308
25 11 102
25 12 944
25 13 955
25 14 896
25 15 736
25 20 355
25 21 431
